text,news_link,outlet,topic,type,label,label_opinion,biased_words
But that’s not what the governors of Florida and Texas are demanding.,https://www.alternet.org/former-reagan-speechwriter-rips-greg-abbott-for-his-cruel-and-heartless-immigration-stunts/,Alternet,immigration,nan,1,nan,nan
Why did Trump offer up this cards? That's because his vaunted skills in making the deal absolutely failed to budge the prices from pharmaceutical companies and a deal that had been in the works for months absolutely collapsed. ,https://www.alternet.org/2020/10/ralph-nader-mitch-mcconnell-is-brazen-evil-cruel-and-the-last-thing-he-deserves-is-a-seventh-term/,Alternet,universal health care,left,1,Expresses writer’s opinion,"['vaunted', 'absolutely']"
"Biden’s new, 12-page policy plan proposes financing for its recommendations, including funneling more money to regions with high poverty rates and pushing the United States to net-zero greenhouse emissions by 2050, by raising corporate taxes and ending subsidies for fossil fuels.",https://www.reuters.com/article/us-usa-election-biden-infrastructure/democrat-joe-biden-proposes-1-3-trillion-u-s-infrastructure-plan-idUSKBN1XO1E9?feedType=RSS&feedName=topNews,Reuters,taxes,center,1,Entirely factual,[]
"According to a Washington Post analysis updated on Monday, half of people killed by police are white, but Black Americans are shot at a disproportionate rate. ",https://www.reuters.com/article/us-global-race-trump/trump-downplays-police-violence-against-black-people-says-more-white-people-killed-idUSKCN24F2WQ,Reuters,black lives matter,center,0,Entirely factual,[]
"While Lecturing Americans On Racism, Big Business Opposes Ban On Using Foreign Slave Labor",https://thefederalist.com/2020/12/02/while-lecturing-americans-on-racism-big-business-opposes-ban-on-using-foreign-slave-labor/,Federalist,islam,nan,1,Somewhat factual but also opinionated,[]
"While each sport has its own rules with regards to religious headwear, Muslim women who compete while wearing a hijab have faced a litany of obstacles.",https://www.huffpost.com/entry/muslim-teen-disqualified-hijab-race_n_5db1b8eae4b0d5b789475647,HuffPost,sport,left,0,Entirely factual,[]
"But President Donald Trump and his campaign advisers are proceeding with the event, which is expected to draw tens of thousands inside and outside the venue who will neither be socially distant nor required to wear face coverings.",https://www.nbcnews.com/politics/2020-election/top-members-coronavirus-task-force-advised-against-trump-s-tulsa-n1231585,MSNBC,coronavirus,left,0,Somewhat factual but also opinionated,[]
"In the United States, the outbreak of the new coronavirus and efforts to prepare for its possible spread have become political in a presidential election year.",https://www.reuters.com/article/us-china-health/who-warns-against-fatal-complacency-in-global-coronavirus-fight-idUSKCN20L0AF?feedType=RSS&feedName=topNews,Reuters,vaccine,nan,0,Entirely factual,[]
"Throughout the night, indeed the convention, the Democrats have appeared terrified that their constituents are too dumb to know how to vote or something. In any event, they have been yammering about it a lot.",https://thefederalist.com/2020/08/20/democratic-convention-day-3-revenge-of-the-obama/,Federalist,vaccine,nan,1,Expresses writer’s opinion,"['dumb', 'yammering', 'terrified', 'too']"
"...immigrants as criminals and eugenics, all of which were once considered fringe and extreme. White nationalists embrace white supremacist and white separatist views.",https://www.nbcnews.com/news/latino/after-stephen-miller-s-white-nationalist-views-outed-latinos-ask-n1096071,MSNBC,white-nationalism,left,1,Expresses writer’s opinion,"['criminals', 'fringe', 'extreme']"
"Michael Mann, arguably the world’s no. 1 climate alarmist, does not explain how it was possible for him to witness climate change “first hand,” which would be difficult to do, since by definition climate change — unlike weather — takes place over long periods of time.",https://www.breitbart.com/environment/2020/01/02/leading-climate-alarmist-freaks-out-over-australia-bushfires/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,environment,right,0,Somewhat factual but also opinionated,['alarmist']
"One protester appeared to have been left injured in the incident, according to NBC Los Angeles.",http://feedproxy.google.com/~r/breitbart/~3/um5YGL5P03Q/,Breitbart,black lives matter,right,0,Entirely factual,[]
"The Trump tax cuts also doubled the child tax credit and expanded its eligibility, which greatly helps the American working-class family.",https://www.breitbart.com/politics/2019/10/15/fact-check-trump-lowered-taxes-for-middle-class-americans/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,middle-class,right,0,No agreement,[]
Sexual Abuse by Clerics Pervasive In Islamic Schools,http://feedproxy.google.com/~r/breitbart/~3/mId7Ka4ONX0/,Breitbart,islam,nan,1,Somewhat factual but also opinionated,['Pervasive']
"If the Left doesn’t feel comfortable imposing its will through gun-control legislation, it will find other avenues of power to engineer the public.",http://feedproxy.google.com/~r/breitbart/~3/MBTkPPu9uSo/,Breitbart,gun control,right,1,Expresses writer’s opinion,['engineer']
"Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights, parental love, and the trust between doctor and patient.",https://www.nbcnews.com/news/us-news/down-syndrome-abortion-fight-ohio-takes-legal-twists-n1155276?cid=public-rss_20200311,MSNBC,abortion,left,0,Entirely factual,[]
"Over four years later, she and her daughter are coping with the lingering trauma from the wildfire’s apocalyptic smog, heat, and destruction.",https://www.thedailybeast.com/climate-disaster-trauma-is-rewiring-our-brains-into-something-alarmingly-worse,The Daily Beast,environment,nan,1,nan,nan
"Appearing Tuesday Cheddar Live, Rep. Maxine Waters (D) formally endorsed former Vice President Joe Biden for the White House, claiming that President Donald Trump is “destroying America” and advocating for the killing of both black and white children in the wake of nationwide protests over the death of George Floyd.",https://www.breitbart.com/politics/2020/06/02/maxine-waters-endorses-biden-trump-talking-about-killing-young-white-children/,Breitbart,elections-2020,right,1,Somewhat factual but also opinionated,['claiming']
Proposals to restructure repayment programs or dip into retirement accounts don’t prevent students from taking out dangerous amounts of student loans in the first place.,https://thefederalist.com/2020/01/23/americans-need-to-stop-hurrying-young-people-into-student-debt-slavery/,Federalist,student-debt,right,0,No agreement,[]
"“He won because the Election was Rigged,” Trump wrote, not referring to Biden by name, adding a list of complaints about vote counting.",https://www.reuters.com/article/us-usa-election/trump-concedes-nothing-on-election-biden-team-to-meet-vaccine-makers-idUSKBN27V04W,Reuters,vaccine,nan,0,Entirely factual,[]
"Trump has repeatedly boasted about and taken credit for the stock market’s performance during his three years in office, including as recently as last Saturday after a strong rebound the day before. Trump has also warned that Wall Street would fall if a Democratic candidate wins the November presidential election.",https://www.reuters.com/article/usa-stocks-trump/refile-last-of-dows-gains-during-trump-presidency-disappear-idUSL1N2BB22Q,Reuters,trump-presidency,center,1,Somewhat factual but also opinionated,['boasted']
"Hawley recalled during Tuesday’s hearing that he had confronted Shogan in the last hearing about her past tweets that he considered ""grossly partisan"" and ""offensive.""",https://www.foxnews.com/politics/hawley-slams-biden-nominee-stonewalling-past-tweets-unbelievable,Fox News,elections-2020,nan,0,nan,nan
Reuters has previously debunked false claims on social media that U.S. philanthropist Bill Gates planned to use microchip implants to fight the coronavirus.,https://www.reuters.com/article/uk-factcheck-video-microchip-coronavirus-idUSKBN22R2GS,Reuters,vaccine,nan,1,nan,nan
"Local health officer Dr Rosana Salvaterra appeared to co-sign the demonstration, praising activists for wearing masks and claiming they obeyed social distancing protocols — although footage of the event strongly suggests that is not strictly accurate.",http://feedproxy.google.com/~r/breitbart/~3/l0U5gY2WpVw/,Breitbart,black lives matter,right,1,Somewhat factual but also opinionated,['claiming']
"Now, with Democrats in control of the House of Representatives after the midterm elections, and with states like New York and Virginia among others pushing boundaries on abortion to extremes, the Republicans in Congress is rolling out a long-term push to force the Democrats to hold a vote on the bill.",https://www.breitbart.com/politics/2019/02/08/exclusive-house-gop-plans-sustained-effort-to-expose-leftist-democrats-on-abortion/amp/?__twitter_impression=true,Breitbart,abortion,right,0,Somewhat factual but also opinionated,[]
The United Nations Humanitarian Affairs office warned on Monday that nearly a million Syrian civilians from northwest Idlib province had been displaced in a Russia-backed offensive there by dictator Bashar al-Assad that began in December.,http://feedproxy.google.com/~r/breitbart/~3/m-blC792hwU/,Breitbart,international-politics-and-world-news,right,0,Entirely factual,[]
Democrat presidential hopeful Pete Buttigieg apparently felt the sting of Rush Limbaugh’s recent comments about his masculinity and lashed out at the radio icon and Trump supporters in an interview with Ellen DeGeneres.,http://feedproxy.google.com/~r/breitbart/~3/9uJGwg9vGxg/,Breitbart,marriage-equality,nan,1,Somewhat factual but also opinionated,"['apparently', 'felt', 'the', 'sting', 'lashed', 'out']"
"Writing in today’s Wall Street Journal, Pence denies that there is such a thing as a “second wave” to the pandemic, and he doesn’t mean because we haven’t exited the first wave.",https://feeds.feedblitz.com/~/627740594/0/alternet_all~Mike-Pence-is-outright-lying-and-denying-the-facts-to-pretend-COVID-is-under-control/,Alternet,vaccine,nan,0,Entirely factual,[]
"BLM, like the Women’s March, has from its start been ardently antisemitic.",https://thefederalist.com/2020/07/03/if-you-really-believe-black-lives-matter-stop-supporting-black-lives-matter/,Federalist,marriage-equality,nan,1,Expresses writer’s opinion,['antisemitic']
