text,topic,type,Predicted
Halftime Report are offering political junkies the chance to get in on bracket-busting fun as we rank the greatest speeches in American political history.,white-nationalism,,NEUTRAL
"There is no doubt that discrimination plays a role in this wage gap, but there are other factors that deserve attention.",gender,left,BIASED
"A transgender California prison inmate who was born male but identifies as female underwent gender-reassignment surgery paid for by the state this week in what is believed to be the first such case in the United States, her attorneys said Friday.",#metoo,center,BIASED
"With radical feminists and extremist trans activists seeking to have her publishers and film associates ban her from earning a living, she understands how the radical left seeks not to merely disagree with their opponents, but to destroy them utterly as human beings.",marriage-equality,,NEUTRAL
"Mexico on Monday detailed plans to withhold tax from drivers for ride-hailing and food delivery firms such as Uber Technologies Inc and Rappi, but China’s Didi said it would not take part in the arrangement, sparking friction within the industry.",taxes,center,BIASED
"Smith’s announcement Sunday at the all-male, historically black college in Atlanta, Georgia provoked impassioned calls for both making higher education free across the country and canceling student debt.",student-debt,left,NEUTRAL
"Scuffles broke out between the Portland-based Patriot Prayer members and Black Lives Matter activists, with a Koin 6 photographer tweeting that he heard gunshots.",black lives matter,center,BIASED
"The words and notions of all these documents (Green New Deal, Venezuelan Constitution, UN Covenant “International Covenant on Economic, Social and Cultural Rights”, Stalin-written Soviet Constitution) may sound good to some, but in the end, they are just empty words at best, a siren call for the naïve, beckoning them to a socialist utopia, and at worst, lip service meant to distract from totalitarian brutality.",environment,right,NEUTRAL
"The financial backers of the BLM movement, such as the Ford Foundation and George Soros’ Open Society Foundations, no doubt recognize the value of infiltrating the understructure of our educational system.",islam,,NEUTRAL
"Trump has been eager to paint the entire Democratic field as socialists, seeking to make any eventual nominee unsavory for voters by arguing Democrats want to raise taxes, open the U.S. borders and take away private healthcare.",taxes,center,NEUTRAL
House Republicans are gearing up for a sustained push to expose leftist Democrats in the House Democrat majority on their increasingly extreme views on abortion.,abortion,right,NEUTRAL
"Amanda Kifferly, vice president of abortion access for The Women’s Centers, explained that she’s seeing some of the ways that the coronavirus is making it harder for women to get an abortion, which was already difficult because of all the needless bureaucratic obstacles put in place by conservative legislators.",abortion,left,BIASED
"As widespread protests over racial injustice roiled the country, LGBT+ campaigners on Monday, the start of the annual Pride month, called for a return to the rebellious origins of the U.S. gay rights movement.",blm,,BIASED
Miami recently declared a climate emergency since it faces an existential threat as it battles rising sea levels and increasingly violent Atlantic storms.,environment,center,BIASED
"Model Paulina Porizkova — who was on the cover of the Sports Illustrated Swimsuit says that, at the time, sexual harassment was such an ingrained part of the business, it was viewed as a “compliment.”",#metoo,,NEUTRAL
"Ukrainian aircraft launched three strikes on areas of concentration of Russian forces, the statement said.",international-politics-and-world-news,,BIASED
Democratic U.S. Rep. David Cicilline of Rhode Island eloquently blasted Republican Rep. Matt Gaetz of Florida during Wednesday’s House hearing on gun control.,gun-control,left,NEUTRAL
"The White House Council of Economic Advisers (CEA) estimated that 13 million Americans will have increased access to health care due to President Donald Trump’s executive action, according to a report released recently.",universal health care,right,BIASED
"A federal visa program allowing international students to work at firms in the United States after graduation appears to have been exploited by fake companies providing false employment verifications, according to an NBC News/NBC Bay Area investigation.",immigration,left,NEUTRAL
"It’s time we face facts about 2020. It will be so dirty, brimming with disinformation, and packed with hackers that it'll make 2016 look like a student council election.",elections-2020,,NEUTRAL
"A president completely out of control, abusing government power to achieve his political ends, and desperate to prevent any check on his colossal Niagara Falls of bullshit, is about to make Twitter an object lesson, the first trophy in Trump's expanding war against free speech.",islam,,NEUTRAL
"Some taxpayers accelerated their tax payments into December 2017 to head off the cap, inflating states’ calendar year-end tax collections.",taxes,center,BIASED
"Trump and the petty politics of revenge: 'If the president doesn't act, people will die'",taxes,left,NEUTRAL
Two Louisville police officers were shot and wounded during demonstrations on Wednesday night.,black lives matter,center,BIASED
Hong Kong braces for turmoil over new China law as stocks slide on risk of 'strong' Trump reaction,islam,,BIASED
"Payroll taxes were temporarily cut during President Barack Obama’s administration to boost consumer spending after the last recession, but they expired in 2013.",taxes,center,BIASED
"Drew Brees is now on his third 1984-ish public confession, a full-blown grovel tour, for the sin of expressing respect for the American flag.",marriage-equality,,NEUTRAL
Disney is slated to openly embrace Hollywood’s descent into the world of woke and feature its first openly lesbian character in its upcoming film Onward.,marriage-equality,,BIASED
"The over-the-top, theatrical lies of the anti-choice movement are so comical that the mainstream media, for decades, has shied away from covering them too closely, likely out of fear that they’re actually too ridiculous to be believed.",abortion,left,NEUTRAL
"In general, people with mental or physical disabilities were 13 percent more likely to be arrested as juveniles or young adults than people free of disability, according to the report in the American Journal of Public Health.",blm,,BIASED
"Expectations are raised that China, which is led by the Communist Party, might eventually join the growing number of countries that have passed legislation protecting the rights of lesbian, gay, bisexual, transgender and queer people.",gender,left,BIASED
"Sen. Bernie Sanders (I-Vt.) was among those who suggested Wednesday that a Medicare for All system—falsely dismissed by Republicans and corporate Democrats as prohibitively expensive and unrealistic—could afford all Americans the ability to see a doctor if they develop the flu-like symptoms associated with coronavirus, officially known as COVID-19.",vaccine,,NEUTRAL
"Defense lawyer Damon Cheronis asked one group whether they would consider the cross-examination of a woman who said she was assaulted as “victim-shaming,” and whether they thought it was possible that a woman might “reframe” a consensual sexual encounter as an assault years later.",#metoo,center,BIASED
"So if you decided a career in art history was worth the price, it shouldn’t be the government’s job to pay the bill for your student loans––even if it’s not your fault that the cost of college has exploded in recent years.",student-debt,right,NEUTRAL
"A sharp drop in temperatures and wind speed, combined with vehicle and industrial emissions, dust from building sites and smoke from garbage burning has boosted pollution over much of north India, including New Delhi, home to more than 20 million.",environment,center,BIASED
"In other words, it would be much harder to arrest an illegal alien in this country than it is to arrest you.",marriage-equality,,NEUTRAL
Eleven Republican politicians are currently open to the idea of gun control for bump stocks.,gun-control,,BIASED
His lawyers have sought a plea deal relating to these in an effort to avoid a possible death sentence.,gun-control,,BIASED
"And he angrily demanded credit for having restricted travel from China earlier, saying that subsequent events had vindicated him — a typical egomaniacal gesture from the president.",vaccine,,NEUTRAL
"Sen. Kamala Harris, vying to be the first Black and Asian American vice president, slammed President Donald Trump's record on race.",islam,,BIASED
"The government urged unvaccinated families to hang a red cloth or flag outside homes as a signal for help, and imposed the shutdown to free up resources for its vaccine drive and keep even those fearful of vaccines home for the teams’ visits.",vaccines,center,BIASED
The deputy commissioner of Kolkata Police eventually apologized for the bloodying of students - many of whom were women - and argued that tensions had risen too quickly. ,international-politics-and-world-news,right,BIASED
"Given a certain level of mistrust, here are several public information topics for which we should remain on high alert for quackery.",universal health care,left,NEUTRAL
"If an FBI background check takes longer than three business days, a gun dealer can sell the firearm to a buyer, under current regulations.",gun control,center,BIASED
"Biden wants to roll back some of Trump’s tax cuts by raising the marginal tax rate on the highest income earners back to 39.6%, from 37%, and would also raise some taxes on investment profit.",taxes,center,BIASED
"With U.S. President Donald Trump’s announcement on Thursday of tariffs on another $300 billion of Chinese imports, nearly all goods from China will be subject to import taxes, and Trump says they generate billions of dollars in revenues for the U.S. Treasury from China.",taxes,center,BIASED
"Although all four of the Minneapolis police officers involved in the death of George Floyd on Monday, May 25 have been fired, only one of them has faced criminal charges so far: Derek Chauvin.",black lives matter,,BIASED
President Joe Biden made a bizarre race-related comment on Monday at a Black History Month event hosted at the White House.,blm,,NEUTRAL
Ernst said in a statement on Thursday that increasing healthcare transparency would allow Americans to make more informed healthcare decisions.,universal health care,right,BIASED
"Former Defense Secretary William Cohen on Friday called out President Donald Trump’s violent rhetoric about anti-racism protesters, warning the White House is “leading us down the trail toward a dictatorship.”",elections-2020,left,NEUTRAL
Stephen Colbert and Jimmy Kimmel are firing back after President Donald Trump's biting comments about them and fellow late-night hosts Jimmy Fallon and Seth Meyers.,trump-presidency,center,NEUTRAL
A new coronavirus that has killed 26 people in China was confirmed in Europe for the first time on Friday as it spreads despite Chinese attempts to quarantine the city at the heart of the outbreak.,vaccine,,BIASED
"With many formal Juneteenth events canceled due to coronavirus concerns, activists instead organized a host of virtual observances online, as well as street marches and “car caravans” through several major cities.",blm,,BIASED
Top U.S. infectious disease expert Dr. Anthony Fauci on Friday resisted efforts by a staunch ally of President Donald Trump to turn his testimony about controlling the coronavirus pandemic into criticism of protests against racial injustice.,vaccine,,BIASED
"Thus, it is impossible to move forward,"" said Mykola, 59, commander of a Ukrainian front-line rocket launcher battery, watching a tablet screen for coordinates to fire.",international-politics-and-world-news,,BIASED
"Month by month, the cost of wasting so much money on weaponry and other military expenses grows higher, as defense contractor salaries continue to be fattened at taxpayer expense, while public health resources are robbed of financial support.",vaccine,,NEUTRAL
